Date,Device Category,Sessions
2015-03-19,desktop,2724424
2015-03-20,desktop,2060388
2015-03-21,desktop,1025706
2015-03-22,desktop,1054877
2015-03-23,desktop,2827178
2015-03-24,desktop,2867498
2015-03-25,desktop,2974989
2015-03-26,desktop,2568774
2015-03-27,desktop,2341380
2015-03-28,desktop,1018420
2015-03-29,desktop,945258
2015-03-30,desktop,2225421
2015-03-31,desktop,2791585
2015-04-01,desktop,2678646
2015-04-02,desktop,2269629
2015-04-03,desktop,1592920
2015-04-04,desktop,937916
2015-04-05,desktop,870709
2015-04-06,desktop,2708828
2015-04-07,desktop,3183404
2015-04-08,desktop,2804738
2015-04-09,desktop,2859208
2015-04-10,desktop,2277581
2015-04-11,desktop,1023222
2015-04-12,desktop,1216650
2015-04-13,desktop,3150281
2015-04-14,desktop,3198919
2015-04-15,desktop,2961486
2015-04-16,desktop,2700843
2015-04-17,desktop,2239806
2015-04-18,desktop,763636
2015-04-19,desktop,1016248
2015-04-20,desktop,3017734
2015-04-21,desktop,3108388
2015-04-22,desktop,2808702
2015-04-23,desktop,2841765
2015-04-24,desktop,2104614
2015-04-25,desktop,999900
2015-04-26,desktop,1061073
2015-04-27,desktop,2868968
2015-04-28,desktop,3045645
2015-04-29,desktop,3090860
2015-04-30,desktop,2940777
2015-05-01,desktop,2102398
2015-05-02,desktop,894965
2015-05-03,desktop,1005997
2015-05-04,desktop,3054284
2015-05-05,desktop,3041047
2015-05-06,desktop,3115611
2015-05-07,desktop,2705816
2015-05-08,desktop,2065077
2015-05-09,desktop,780174
2015-05-10,desktop,846652
2015-05-11,desktop,2946932
2015-05-12,desktop,2989200
2015-05-13,desktop,2885055
2015-05-14,desktop,2779014
2015-05-15,desktop,2503973
2015-05-16,desktop,935150
2015-05-17,desktop,747136
2015-05-18,desktop,2932742
2015-05-19,desktop,3548426
2015-05-20,desktop,3083435
2015-05-21,desktop,2659376
2015-05-22,desktop,2278822
2015-05-23,desktop,835087
2015-05-24,desktop,1128945
2015-05-25,desktop,1161784
2015-05-26,desktop,2977760
2015-05-27,desktop,2977162
2015-05-28,desktop,2686908
2015-05-29,desktop,2261161
2015-05-30,desktop,908402
2015-05-31,desktop,1175319
2015-06-01,desktop,2866468
2015-06-02,desktop,3175347
2015-06-03,desktop,2642266
2015-06-04,desktop,2635842
2015-06-05,desktop,2216199
2015-06-06,desktop,910536
2015-06-07,desktop,1096573
2015-06-08,desktop,2918601
2015-06-09,desktop,2770065
2015-06-10,desktop,2860336
2015-06-11,desktop,2407515
2015-06-12,desktop,1837359
2015-06-13,desktop,863406
2015-06-14,desktop,700311
2015-06-15,desktop,3069352
2015-06-16,desktop,2945642
2015-06-17,desktop,2742342
2015-06-18,desktop,2400378
2015-06-19,desktop,2321568
2015-06-20,desktop,832160
2015-06-21,desktop,847429
2015-06-22,desktop,2802974
2015-06-23,desktop,3108638
2015-06-24,desktop,2841365
2015-06-25,desktop,2685931
2015-06-26,desktop,2049607
2015-06-27,desktop,902040
2015-06-28,desktop,1070858
2015-06-29,desktop,2900618
2015-06-30,desktop,2956387
2015-07-01,desktop,3030021
2015-07-02,desktop,2402758
2015-07-03,desktop,1277750
2015-07-04,desktop,699583
2015-07-05,desktop,1004058
2015-07-06,desktop,2974264
2015-07-07,desktop,2898490
2015-07-08,desktop,2735663
2015-07-09,desktop,2645694
2015-07-10,desktop,2143131
2015-07-11,desktop,798649
2015-07-12,desktop,920159
2015-07-13,desktop,2951843
2015-07-14,desktop,2805710
2015-07-15,desktop,2890546
2015-07-16,desktop,2391402
2015-07-17,desktop,2116363
2015-07-18,desktop,1126471
2015-07-19,desktop,1178160
2015-07-20,desktop,2944908
2015-07-21,desktop,2816318
2015-07-22,desktop,2874265
2015-07-23,desktop,2768146
2015-07-24,desktop,2452241
2015-07-25,desktop,1325198
2015-07-26,desktop,1111938
2015-07-27,desktop,2931021
2015-07-28,desktop,2914985
2015-07-29,desktop,2838589
2015-07-30,desktop,2703366
2015-07-31,desktop,2424075
2015-08-01,desktop,995855
2015-08-02,desktop,1247777
2015-08-03,desktop,3280259
2015-08-04,desktop,3346332
2015-08-05,desktop,3124834
2015-08-06,desktop,2734911
2015-08-07,desktop,2471891
2015-08-08,desktop,1189969
2015-08-09,desktop,1229235
2015-08-10,desktop,3140207
2015-08-11,desktop,3338016
2015-08-12,desktop,2994803
2015-08-13,desktop,2872780
2015-08-14,desktop,2569935
2015-08-15,desktop,1174677
2015-08-16,desktop,1043732
2015-08-17,desktop,3048874
2015-08-18,desktop,3219358
2015-08-19,desktop,2856383
2015-08-20,desktop,2748121
2015-08-21,desktop,2176688
2015-08-22,desktop,1147827
2015-08-23,desktop,1204488
2015-08-24,desktop,2829453
2015-08-25,desktop,2956096
2015-08-26,desktop,3083858
2015-08-27,desktop,2924285
2015-08-28,desktop,2460234
2015-08-29,desktop,1059214
2015-08-30,desktop,1122310
2015-08-31,desktop,3381827
2015-09-01,desktop,3212025
2015-09-02,desktop,3148223
2015-09-03,desktop,3085855
2015-09-04,desktop,2399063
2015-09-05,desktop,994075
2015-09-06,desktop,1190524
2015-09-07,desktop,1445880
2015-09-08,desktop,3281017
2015-09-09,desktop,3070951
2015-09-10,desktop,3066074
2015-09-11,desktop,2436465
2015-09-12,desktop,957872
2015-09-13,desktop,1177301
2015-09-14,desktop,2952245
2015-09-15,desktop,2965861
2015-09-16,desktop,3110788
2015-09-17,desktop,2954695
2015-09-18,desktop,2585175
2015-09-19,desktop,1251966
2015-09-20,desktop,1238598
2015-09-21,desktop,3132138
2015-09-22,desktop,3296182
2015-09-23,desktop,2940084
2015-09-24,desktop,2869013
2015-09-25,desktop,2603198
2015-09-26,desktop,1047459
2015-09-27,desktop,1033672
2015-09-28,desktop,2975703
2015-09-29,desktop,3019358
2015-09-30,desktop,3068557
2015-10-01,desktop,3068712
2015-10-02,desktop,2647321
2015-10-03,desktop,1120650
2015-10-04,desktop,1189129
2015-10-05,desktop,3310102
2015-10-06,desktop,3275122
2015-10-07,desktop,3077028
2015-10-08,desktop,2966231
2015-10-09,desktop,2972398
2015-10-10,desktop,1133904
2015-10-11,desktop,1280584
2015-10-12,desktop,2456649
2015-10-13,desktop,3251619
2015-10-14,desktop,3075404
2015-10-15,desktop,2914803
2015-10-16,desktop,2750786
2015-10-17,desktop,1256524
2015-10-18,desktop,1416454
2015-10-19,desktop,3509445
2015-10-20,desktop,3343588
2015-10-21,desktop,3290286
2015-10-22,desktop,2873327
2015-10-23,desktop,2559321
2015-10-24,desktop,1134716
2015-10-25,desktop,1270490
2015-10-26,desktop,3220523
2015-10-27,desktop,3401652
2015-10-28,desktop,3307086
2015-10-29,desktop,2853405
2015-10-30,desktop,2340799
2015-10-31,desktop,1039222
2015-11-01,desktop,1262893
2015-11-02,desktop,3442115
2015-11-03,desktop,3100807
2015-11-04,desktop,2862390
2015-11-05,desktop,2598258
2015-11-06,desktop,2574225
2015-11-07,desktop,1109605
2015-11-08,desktop,1166284
2015-11-09,desktop,2932495
2015-11-10,desktop,3161921
2015-11-11,desktop,1903799
2015-11-12,desktop,2605509
2015-11-13,desktop,2342264
2015-11-14,desktop,981912
2015-11-15,desktop,1304934
2015-11-16,desktop,3094515
2015-11-17,desktop,3156526
2015-11-18,desktop,2717838
2015-11-19,desktop,2596337
2015-11-20,desktop,2324248
2015-11-21,desktop,1114926
2015-11-22,desktop,1178466
2015-11-23,desktop,2749317
2015-11-24,desktop,2726406
2015-11-25,desktop,1983183
2015-11-26,desktop,790866
2015-11-27,desktop,1091984
2015-11-28,desktop,957691
2015-11-29,desktop,1187693
2015-11-30,desktop,3028524
2015-12-01,desktop,3026904
2015-12-02,desktop,2872386
2015-12-03,desktop,2317183
2015-12-04,desktop,2313240
2015-12-05,desktop,1307543
2015-12-06,desktop,1222354
2015-12-07,desktop,2827687
2015-12-08,desktop,2669888
2015-12-09,desktop,2726850
2015-12-10,desktop,2230116
2015-12-11,desktop,2160167
2015-12-12,desktop,948958
2015-12-13,desktop,967637
2015-12-14,desktop,2893611
2015-12-15,desktop,2761610
2015-12-16,desktop,2553544
2015-12-17,desktop,2167087
2015-12-18,desktop,1901969
2015-12-19,desktop,915784
2015-12-20,desktop,885575
2015-12-21,desktop,2222374
2015-12-22,desktop,2058788
2015-12-23,desktop,1702923
2015-12-24,desktop,907671
2015-12-25,desktop,577895
2015-12-26,desktop,926880
2015-12-27,desktop,925331
2015-12-28,desktop,2180611
2015-12-29,desktop,1814695
2015-12-30,desktop,1854851
2015-12-31,desktop,1157653
2016-01-01,desktop,640598
2016-01-02,desktop,1026740
2016-01-03,desktop,1010091
2016-01-04,desktop,3299924
2016-01-05,desktop,3071088
2016-01-06,desktop,3010952
2016-01-07,desktop,2709112
2016-01-08,desktop,2354454
2016-01-09,desktop,965925
2016-01-10,desktop,1016995
2016-01-11,desktop,3015831
2016-01-12,desktop,3040486
2016-01-13,desktop,2885368
2016-01-14,desktop,2738739
2016-01-15,desktop,2729881
2016-01-16,desktop,1177189
2016-01-17,desktop,1083713
2016-01-18,desktop,1819688
2016-01-19,desktop,3194450
2016-01-20,desktop,3106793
2016-01-21,desktop,2979133
2016-01-22,desktop,2547944
2016-01-23,desktop,947346
2016-01-24,desktop,1047791
2016-01-25,desktop,3103510
2016-01-26,desktop,3095738
2016-01-27,desktop,3128643
2016-01-28,desktop,2674452
2016-01-29,desktop,2783741
2016-01-30,desktop,1229541
2016-01-31,desktop,1664098
2016-02-01,desktop,3326790
2016-02-02,desktop,3214307
2016-02-03,desktop,2879753
2016-02-04,desktop,2687521
2016-02-05,desktop,2626474
2016-02-06,desktop,977075
2016-02-07,desktop,996818
2016-02-08,desktop,2734025
2016-02-09,desktop,2977776
2016-02-10,desktop,3283941
2016-02-11,desktop,2765103
2016-02-12,desktop,2557473
2016-02-13,desktop,1041847
2016-02-14,desktop,1087298
2016-02-15,desktop,1807202
2016-02-16,desktop,3127340
2016-02-17,desktop,3072255
2016-02-18,desktop,3110133
2016-02-19,desktop,2472124
2016-02-20,desktop,1243145
2016-02-21,desktop,1230823
2016-02-22,desktop,3606334
2016-02-23,desktop,3216736
2016-02-24,desktop,3373399
2016-02-25,desktop,3425695
2016-02-26,desktop,2813481
2016-02-27,desktop,1214997
2016-02-28,desktop,1346322
